song,artist
Hey Jude,The Beatles
Let It Be,The Beatles
Yesterday,The Beatles
Come Together,The Beatles
A Hard Day's Night,The Beatles
I Want to Hold Your Hand,The Beatles
Help!,The Beatles
Ticket to Ride,The Beatles
Eleanor Rigby,The Beatles
Blackbird,The Beatles
While My Guitar Gently Weeps,The Beatles
Penny Lane,The Beatles
Strawberry Fields Forever,The Beatles
Something,The Beatles
All You Need Is Love,The Beatles
Here Comes the Sun,The Beatles
Norwegian Wood,The Beatles
Day Tripper,The Beatles
Lucy in the Sky with Diamonds,The Beatles
Revolution,The Beatles
Hound Dog,Elvis Presley
Jailhouse Rock,Elvis Presley
Love Me Tender,Elvis Presley
Heartbreak Hotel,Elvis Presley
Blue Suede Shoes,Elvis Presley
Can't Help Falling in Love,Elvis Presley
Suspicious Minds,Elvis Presley
All Shook Up,Elvis Presley
In the Ghetto,Elvis Presley
Are You Lonesome Tonight?,Elvis Presley
Johnny B. Goode,Chuck Berry
Maybellene,Chuck Berry
Roll Over Beethoven,Chuck Berry
Rock and Roll Music,Chuck Berry
Sweet Little Sixteen,Chuck Berry
No Particular Place to Go,Chuck Berry
Tutti Frutti,Little Richard
Long Tall Sally,Little Richard
Good Golly Miss Molly,Little Richard
Rip It Up,Little Richard
Lucille,Little Richard
Peggy Sue,Buddy Holly
That'll Be the Day,Buddy Holly
Everyday,Buddy Holly
Oh Boy!,Buddy Holly
Rave On,Buddy Holly
(I Can't Get No) Satisfaction,The Rolling Stones
Paint It Black,The Rolling Stones
Gimme Shelter,The Rolling Stones
Sympathy for the Devil,The Rolling Stones
Start Me Up,The Rolling Stones
Angie,The Rolling Stones
Wild Horses,The Rolling Stones
Ruby Tuesday,The Rolling Stones
You Can't Always Get What You Want,The Rolling Stones
My Generation,The Who
Pinball Wizard,The Who
Like a Rolling Stone,Bob Dylan
Blowin' in the Wind,Bob Dylan
The Times They Are A-Changin',Bob Dylan
Tangled Up in Blue,Bob Dylan
All Along the Watchtower,Bob Dylan
Mr. Tambourine Man,Bob Dylan
The Sound of Silence,Simon & Garfunkel
Mrs. Robinson,Simon & Garfunkel
Bridge Over Troubled Water,Simon & Garfunkel
The Boxer,Simon & Garfunkel
Scarborough Fair/Canticle,Simon & Garfunkel
Respect,Aretha Franklin
Chain of Fools,Aretha Franklin
Natural Woman (You Make Me Feel Like),Aretha Franklin
Think,Aretha Franklin
I Say a Little Prayer,Aretha Franklin
What's Going On,Marvin Gaye
Let's Get It On,Marvin Gaye
I Heard It Through the Grapevine,Marvin Gaye
My Girl,The Temptations
Papa Was a Rollin' Stone,The Temptations
Ain't Too Proud to Beg,The Temptations
Just My Imagination,The Temptations
Superstition,Stevie Wonder
Isn't She Lovely,Stevie Wonder
Sir Duke,Stevie Wonder
Higher Ground,Stevie Wonder
You Are the Sunshine of My Life,Stevie Wonder
Living for the City,Stevie Wonder
For Once in My Life,Stevie Wonder
Bohemian Rhapsody,Queen
Don't Stop Me Now,Queen
We Will Rock You,Queen
We Are the Champions,Queen
Somebody to Love,Queen
Killer Queen,Queen
Under Pressure,Queen
Another One Bites the Dust,Queen
Crazy Little Thing Called Love,Queen
You're My Best Friend,Queen
Stairway to Heaven,Led Zeppelin
Whole Lotta Love,Led Zeppelin
Black Dog,Led Zeppelin
Kashmir,Led Zeppelin
Ramble On,Led Zeppelin
Immigrant Song,Led Zeppelin
Comfortably Numb,Pink Floyd
Wish You Were Here,Pink Floyd
"Another Brick in the Wall, Pt. 2",Pink Floyd
Time,Pink Floyd
Money,Pink Floyd
Hey You,Pink Floyd
Hotel California,The Eagles
Take It Easy,The Eagles
Desperado,The Eagles
Life in the Fast Lane,The Eagles
One of These Nights,The Eagles
Take It to the Limit,The Eagles
Go Your Own Way,Fleetwood Mac
Dreams,Fleetwood Mac
Landslide,Fleetwood Mac
Rhiannon,Fleetwood Mac
The Chain,Fleetwood Mac
Everywhere,Fleetwood Mac
Born to Run,Bruce Springsteen
Thunder Road,Bruce Springsteen
Dancing in the Dark,Bruce Springsteen
Born in the U.S.A.,Bruce Springsteen
The River,Bruce Springsteen
Glory Days,Bruce Springsteen
Streets of Philadelphia,Bruce Springsteen
Your Song,Elton John
Rocket Man,Elton John
Tiny Dancer,Elton John
Candle in the Wind,Elton John
Goodbye Yellow Brick Road,Elton John
Don't Let the Sun Go Down on Me,Elton John
Bennie and the Jets,Elton John
Levon,Elton John
Piano Man,Billy Joel
Uptown Girl,Billy Joel
We Didn't Start the Fire,Billy Joel
Just the Way You Are,Billy Joel
Movin' Out,Billy Joel
Only the Good Die Young,Billy Joel
The Longest Time,Billy Joel
Space Oddity,David Bowie
Heroes,David Bowie
Let's Dance,David Bowie
Life on Mars?,David Bowie
Changes,David Bowie
Rebel Rebel,David Bowie
When Doves Cry,Prince
Purple Rain,Prince
Back in Black,AC/DC
Highway to Hell,AC/DC
You Shook Me All Night Long,AC/DC
Thunderstruck,AC/DC
TNT,AC/DC
Sweet Child O' Mine,Guns N' Roses
Paradise City,Guns N' Roses
November Rain,Guns N' Roses
Welcome to the Jungle,Guns N' Roses
Patience,Guns N' Roses
Smells Like Teen Spirit,Nirvana
Come As You Are,Nirvana
Lithium,Nirvana
In Bloom,Nirvana
Heart-Shaped Box,Nirvana
Alive,Pearl Jam
Jeremy,Pearl Jam
Black,Pearl Jam
Even Flow,Pearl Jam
Better Man,Pearl Jam
Losing My Religion,R.E.M.
Everybody Hurts,R.E.M.
Man on the Moon,R.E.M.
The One I Love,R.E.M.
Nightswimming,R.E.M.
Creep,Radiohead
Karma Police,Radiohead
No Surprises,Radiohead
Paranoid Android,Radiohead
High and Dry,Radiohead
Fake Plastic Trees,Radiohead
Wonderwall,Oasis
Don't Look Back in Anger,Oasis
Champagne Supernova,Oasis
Live Forever,Oasis
Supersonic,Oasis
Song 2,Blur
Parklife,Blur
Coffee & TV,Blur
Tender,Blur
Girls & Boys,Blur
Yellow,Coldplay
Clocks,Coldplay
The Scientist,Coldplay
Viva La Vida,Coldplay
Fix You,Coldplay
Paradise,Coldplay
Speed of Sound,Coldplay
Magic,Coldplay
Mr. Brightside,The Killers
Somebody Told Me,The Killers
When You Were Young,The Killers
All These Things That I've Done,The Killers
Read My Mind,The Killers
Basket Case,Green Day
Boulevard of Broken Dreams,Green Day
American Idiot,Green Day
Wake Me Up When September Ends,Green Day
Good Riddance (Time of Your Life),Green Day
21 Guns,Green Day
In the End,Linkin Park
Numb,Linkin Park
Crawling,Linkin Park
One Step Closer,Linkin Park
Somewhere I Belong,Linkin Park
Everlong,Foo Fighters
Learn to Fly,Foo Fighters
The Pretender,Foo Fighters
My Hero,Foo Fighters
Best of You,Foo Fighters
1979,Smashing Pumpkins
"Tonight, Tonight",Smashing Pumpkins
Bullet with Butterfly Wings,Smashing Pumpkins
Disarm,Smashing Pumpkins
Cherub Rock,Smashing Pumpkins
Under the Bridge,Red Hot Chili Peppers
Californication,Red Hot Chili Peppers
Scar Tissue,Red Hot Chili Peppers
Give It Away,Red Hot Chili Peppers
By the Way,Red Hot Chili Peppers
Seven Nation Army,The White Stripes
Fell in Love with a Girl,The White Stripes
Blue Orchid,The White Stripes
Icky Thump,The White Stripes
Time Is Running Out,Muse
Uprising,Muse
Starlight,Muse
Hysteria,Muse
Supermassive Black Hole,Muse
Last Nite,The Strokes
Someday,The Strokes
Reptilia,The Strokes
Hard to Explain,The Strokes
I Bet You Look Good on the Dancefloor,Arctic Monkeys
Do I Wanna Know?,Arctic Monkeys
