song,artist
I'll Be Seeing You,Frank Sinatra
In the Mood,Glenn Miller
Sentimental Journey,Doris Day
As Time Goes By,Bing Crosby
Blue Moon,Mel Tormé
My Funny Valentine,Chet Baker
Moon River,Henry Mancini
Beyond the Sea,Bobby Darin
That's Amore,Dean Martin
Unchained Melody,The Righteous Brothers
Heartbreak Hotel,Elvis Presley
Hound Dog,Elvis Presley
Jailhouse Rock,Elvis Presley
Love Me Tender,Elvis Presley
Blue Suede Shoes,Carl Perkins
Johnny B. Goode,Chuck Berry
Tutti Frutti,Little Richard
Great Balls of Fire,Jerry Lee Lewis
Why Do Fools Fall in Love,Frankie Lymon & the Teenagers
Rock Around the Clock,Bill Haley & His Comets
Yesterday,The Beatles
Hey Jude,The Beatles
Let It Be,The Beatles
A Hard Day's Night,The Beatles
I Want to Hold Your Hand,The Beatles
Paint It Black,The Rolling Stones
Satisfaction,The Rolling Stones
Gimme Shelter,The Rolling Stones
(I Can't Get No) Satisfaction,The Rolling Stones
My Generation,The Who
Substitute,The Who
House of the Rising Sun,The Animals
White Room,Cream
Sunshine of Your Love,Cream
California Dreamin',The Mamas & the Papas
The Sound of Silence,Simon & Garfunkel
Mrs. Robinson,Simon & Garfunkel
For What It's Worth,Buffalo Springfield
Blowin' in the Wind,Bob Dylan
Like a Rolling Stone,Bob Dylan
Ain't No Mountain High Enough,Marvin Gaye
What's Going On,Marvin Gaye
I Heard It Through the Grapevine,Marvin Gaye
Respect,Aretha Franklin
Chain of Fools,Aretha Franklin
Think,Aretha Franklin
My Girl,The Temptations
Ain't Too Proud to Beg,The Temptations
Stop! In the Name of Love,The Supremes
You Can't Hurry Love,The Supremes
I Got You (I Feel Good),James Brown
Papa's Got a Brand New Bag,James Brown
Sittin' On) The Dock of the Bay,Otis Redding
Bohemian Rhapsody,Queen
Somebody to Love,Queen
We Will Rock You,Queen
Hotel California,Eagles
Take It Easy,Eagles
Stairway to Heaven,Led Zeppelin
Kashmir,Led Zeppelin
Dream On,Aerosmith
Sweet Emotion,Aerosmith
Born to Run,Bruce Springsteen
Thunder Road,Bruce Springsteen
Rocket Man,Elton John
Your Song,Elton John
Tiny Dancer,Elton John
Maggie May,Rod Stewart
Sultans of Swing,Dire Straits
More Than a Feeling,Boston
Go Your Own Way,Fleetwood Mac
Dreams,Fleetwood Mac
Landslide,Fleetwood Mac
Superstition,Stevie Wonder
Sir Duke,Stevie Wonder
I Wish,Stevie Wonder
Le Freak,Chic
Good Times,Chic
Stayin' Alive,Bee Gees
Night Fever,Bee Gees
September,"Earth, Wind & Fire"
Let's Stay Together,Al Green
What's Love Got to Do with It,Tina Turner
Billie Jean,Michael Jackson
Beat It,Michael Jackson
Thriller,Michael Jackson
Like a Virgin,Madonna
Material Girl,Madonna
Sweet Child O' Mine,Guns N' Roses
Paradise City,Guns N' Roses
Livin' on a Prayer,Bon Jovi
You Give Love a Bad Name,Bon Jovi
Every Breath You Take,The Police
Every Little Thing She Does Is Magic,The Police
With or Without You,U2
I Still Haven't Found What I'm Looking For,U2
Take on Me,a-ha
Everybody Wants to Rule the World,Tears for Fears
Tainted Love,Soft Cell
In the Air Tonight,Phil Collins
Girls Just Want to Have Fun,Cyndi Lauper
Don't Stop Believin',Journey
Open Arms,Journey
Smells Like Teen Spirit,Nirvana
Come As You Are,Nirvana
Lithium,Nirvana
Black,Pearl Jam
Jeremy,Pearl Jam
Alive,Pearl Jam
Losing My Religion,R.E.M.
Man on the Moon,R.E.M.
Wonderwall,Oasis
Don't Look Back in Anger,Oasis
Champagne Supernova,Oasis
Creep,Radiohead
Karma Police,Radiohead
No Surprises,Radiohead
Basket Case,Green Day
Good Riddance (Time of Your Life),Green Day
Enter Sandman,Metallica
Nothing Else Matters,Metallica
Numb,Linkin Park
In the End,Linkin Park
I Will Always Love You,Whitney Houston
My Heart Will Go On,Celine Dion
Vogue,Madonna
Waterfalls,TLC
No Scrubs,TLC
Say My Name,Destiny's Child
Killing Me Softly with His Song,Fugees
California Love,2Pac
Juicy,The Notorious B.I.G.
Hypnotize,The Notorious B.I.G.
Hey Ya!,OutKast
Lose Yourself,Eminem
Stan,Eminem
In My Place,Coldplay
Yellow,Coldplay
Fix You,Coldplay
Clocks,Coldplay
Mr. Brightside,The Killers
Somebody Told Me,The Killers
Seven Nation Army,The White Stripes
Fell in Love with a Girl,The White Stripes
Boulevard of Broken Dreams,Green Day
The Scientist,Coldplay
Chasing Cars,Snow Patrol
Take Me Out,Franz Ferdinand
Rehab,Amy Winehouse
Back to Black,Amy Winehouse
Toxic,Britney Spears
…Baby One More Time,Britney Spears
Yeah!,Usher
Crazy in Love,Beyoncé
Hips Don't Lie,Shakira
Hot in Herre,Nelly
Lose My Breath,Destiny's Child
Ignition (Remix),R. Kelly
Gold Digger,Kanye West
Stronger,Kanye West
God's Plan,Drake
Hotline Bling,Drake
Rolling in the Deep,Adele
Someone Like You,Adele
Hello,Adele
Bad Guy,Billie Eilish
Ocean Eyes,Billie Eilish
Royals,Lorde
Team,Lorde
Take Me to Church,Hozier
Somebody That I Used to Know,Gotye
Radioactive,Imagine Dragons
Demons,Imagine Dragons
Shake It Off,Taylor Swift
Blank Space,Taylor Swift
Style,Taylor Swift
Love Story,Taylor Swift
Cardigan,Taylor Swift
Uptown Funk,Mark Ronson
Get Lucky,Daft Punk
Blinding Lights,The Weeknd
Can't Feel My Face,The Weeknd
Starboy,The Weeknd
Formation,Beyoncé
Hold Up,Beyoncé
HUMBLE.,Kendrick Lamar
Alright,Kendrick Lamar
Bad and Boujee,Migos
Sicko Mode,Travis Scott
Watermelon Sugar,Harry Styles
Adore You,Harry Styles
Circles,Post Malone
Sunflower,Post Malone
Rockstar,Post Malone
Levitating,Dua Lipa
Don't Start Now,Dua Lipa
Shallow,Lady Gaga
Always Remember Us This Way,Lady Gaga
Bad Habits,Ed Sheeran
Shape of You,Ed Sheeran
Photograph,Ed Sheeran
Thinking Out Loud,Ed Sheeran
Believer,Imagine Dragons
Thunder,Imagine Dragons
Memories,Maroon 5
Girls Like You,Maroon 5
Payphone,Maroon 5
Lovely,Billie Eilish
Norwegian Wood,The Beatles
Eleanor Rigby,The Beatles
Help!,The Beatles
Blackbird,The Beatles
Penny Lane,The Beatles
Come Together,The Beatles
A Day in the Life,The Beatles
Bridge Over Troubled Water,Simon & Garfunkel
Cherish,The Association
People Get Ready,The Impressions
I Walk the Line,Johnny Cash
Folsom Prison Blues,Johnny Cash
Ring of Fire,Johnny Cash
Crazy,Patsy Cline
Blueberry Hill,Fats Domino
At Last,Etta James
Walk On By,Dionne Warwick
I Say a Little Prayer,Dionne Warwick
A Change Is Gonna Come,Sam Cooke
What a Wonderful World,Louis Armstrong
La Bamba,Ritchie Valens
Wake Me Up When September Ends,Green Day
Time After Time,Cyndi Lauper
I Want To Know What Love Is,Foreigner
Every Rose Has Its Thorn,Poison
Kiss,Prince
When Doves Cry,Prince
Purple Rain,Prince
1999,Prince
Let's Go Crazy,Prince
Goodbye Yellow Brick Road,Elton John
Candle in the Wind,Elton John
Bennie and the Jets,Elton John
Daniel,Elton John
Both Sides Now,Joni Mitchell
Big Yellow Taxi,Joni Mitchell
A Case of You,Joni Mitchell
America,Simon & Garfunkel
The Boxer,Simon & Garfunkel
For Once in My Life,Stevie Wonder
Isn't She Lovely,Stevie Wonder
"Signed, Sealed, Delivered",Stevie Wonder
Higher Ground,Stevie Wonder
Lean on Me,Bill Withers
Just the Two of Us,Bill Withers
Ain't No Sunshine,Bill Withers
Let's Groove,"Earth, Wind & Fire"
Shining Star,"Earth, Wind & Fire"
ABC,Jackson 5
I Want You Back,Jackson 5
I'll Be There,Jackson 5
Papa Was a Rollin' Stone,The Temptations
My Cherie Amour,Stevie Wonder
You Are the Sunshine of My Life,Stevie Wonder
The Tracks of My Tears,The Miracles
Heatwave,Martha and the Vandellas
Dancing Queen,ABBA
Mamma Mia,ABBA
Take a Chance on Me,ABBA
Waterloo,ABBA
Fernando,ABBA
Friday I'm in Love,The Cure
Boys Don't Cry,The Cure
Just Like Heaven,The Cure
Lovesong,The Cure
Love Will Tear Us Apart,Joy Division
Blue Monday,New Order
True Faith,New Order
There Is a Light That Never Goes Out,The Smiths
How Soon Is Now?,The Smiths
This Charming Man,The Smiths
Peaches,The Stranglers
Blister in the Sun,Violent Femmes
The One I Love,R.E.M.
Everybody Hurts,R.E.M.
Stand,R.E.M.
Drive,R.E.M.
The Killing Moon,Echo & the Bunnymen
Heroes,David Bowie
Space Oddity,David Bowie
Life on Mars?,David Bowie
Let's Dance,David Bowie
Rebel Rebel,David Bowie
Young Americans,David Bowie
Under Pressure,Queen
The Passenger,Iggy Pop
Blitzkrieg Bop,Ramones
Sheena Is a Punk Rocker,Ramones
I Wanna Be Sedated,Ramones
London Calling,The Clash
Should I Stay or Should I Go,The Clash
Rock the Casbah,The Clash
Train in Vain,The Clash
Anarchy in the U.K.,Sex Pistols
God Save the Queen,Sex Pistols
Holiday in Cambodia,Dead Kennedys
When I Come Around,Green Day
Longview,Green Day
American Idiot,Green Day
Time of Your Life,Green Day
What's My Age Again?,Blink-182
All the Small Things,Blink-182
Adam's Song,Blink-182
Dammit,Blink-182
The Middle,Jimmy Eat World
Sweetness,Jimmy Eat World
Ohio,"Crosby, Stills, Nash & Young"
Teach Your Children,"Crosby, Stills, Nash & Young"
CSNY,"Crosby, Stills, Nash & Young"
